මාතලේ	LOC
වී	O
අස්වැන්න	O
සම්පූර්ණයෙන්ම	O
‍මෙම	O
මධ්‍යස්ථානය	O
මගින්	O
මිලදී	O
ගැනීමට	O
නියමිත	O
බව	O
ද	O
සඳහන්ය  O
.	O
මෙම	O
සහල්	ORG
සැකසුම	ORG
මධ්‍යස්ථානයේ	ORG
ඉදිකිරීම්	O
සඳහා	O
වැයවෙතැයි	O
අපේක්ෂිත	O
මුදල	O
රුපියල්	O
කෝටි	O
15කි    O
.   O
මෙමගින්	O
රැකියා	O
අවස්ථා	O
250	O
ක්	O
ද	O
උත්පාදනය	O
වනු	O
ඇතැයි	O
අපේක්ෂා	O
‍කෙරෙයි	O
.	O
කොළඹ	LOC
බෞද්ධාලෝක	LOC
මාවතේ	LOC
වාහන	O
ගමනාගමනය	O
සඳහා	O
මෙතෙක්	O
වසා	O
තිබූ	O
කොටස	O
සැහැල්ලු	O
වාහන	O
සඳහා	O
විවෘත	O
කර	O
තිබේ    O
.   O
ස්ටැන්ලි	LOC
විජේසුන්දර	LOC
මාවත	LOC
ආසන්න‍යේ	O
සිට	O
තුම්මුල්ල	LOC
දක්වා	O
වන	O
කොටස	O
ආරක්ෂක	O
හේතූන්	O
මත	O
පසුගිය	O
ස‍මයේ	O
වසා	O
දමා	O
තිබුණි  O
.	O
මේ	O
වන	O
විට	O
බෞද්ධාලෝක	LOC
මාවතේ	LOC
එම	O
කොටස	O
සැහැල්ලු	O
වාහන	O
සඳහා	O
විවෘත	O
කළ	O
බව	O
කුරුඳුවත්ත	ORG
පොලිසිය	ORG
පැවසුවේය    O
.   O
පෙරවරු	O
6	O
සිට	O
රාත්‍රී	O
9	O
දක්වා	O
එම	O
මාර්ගය	O
සැහැල්ලු	O
වාහන	O
සඳහා	O
විවෘතව	O
පවතින	O
බව	O
කුරුඳුවත්ත	ORG
පොලිසිය	ORG
වැඩිදුරටත්	O
සඳහන්	O
කළේය    O
.	O
අප්‍රිකානු	LOC
කොංගෝ	LOC
රාජ්‍යයේ	LOC
රැඳී	O
සිටින	O
සාම	O
සාධක	O
භට	O
පිරිස්	O
අඩුකිරීම	O
සඳහා	O
එක්සත්	ORG
ජාතීන්ගේ	ORG
ආරක්ෂක	ORG
කවුන්සිලයේ	ORG
අනුමැතිය	O
හිමිවී	O
ති‍බේ   O
.   O
සාමසාධක	O
භටයින්	O
දෙදහසකින්	O
අඩුකිරීම	O
සඳහා	O
ආරක්ෂක	ORG
මණ්ඩලය	ORG
ඒකමතිකව	O
අනුමැතිය	O
ලබාදී	O
ඇති	O
බව	O
විදෙස්	O
වාර්තා	O
පවසයි   O
.   O
ජුනි	O
මස	O
30	O
වැනිදා	O
වන	O
විට	O
අදාළ	O
යෝජනාව	O
ක්‍රියාත්මක	O
කිරීමට	O
නියමිතය	O
.	O
දැනට	O
20,000	O
කට	O
ආසන්න	O
සාමසාධක	O
භට	O
පිරිසක්	O
කොංගෝ	LOC
රාජ්‍යයේ	LOC
රැඳී	O
සිටින	O
අතර	O
එම	O
පිරිස	O
සම්පූර්ණයෙන්ම	O
ඉවත්	O
කිරීම	O
කල්දැමීමට	O
තීරණය	O
වී	O
ඇත   O
.   O
ඒ	O
අනුව	O
2011	O
වර්ෂය	O
දක්වා	O
සාමසාධක	O
භට	O
පිරිස්	O
කොංගෝ	LOC
රාජ‍්‍යයේ	LOC
රැඳී	O
සිටිනු	O
ඇත   O
.	O
කොළඹ	LOC
නගරය	O
අවට	O
ප්‍රදර්ශනය	O
කර	O
ඇති	O
අසභ්‍ය	O
බවට	O
හැගෙන	O
දැන්වීම්	O
පුවරු	O
ඉවත්	O
කිරීම	O
සම්බන්ධයෙන්	O
විශේෂ	O
සාකච්ඡාවක්	O
අද	O
දිනයේ	O
පැවැත්වීමට	O
නියමිතව	O
තිබේ   O
.	O
ඒ	O
සඳහා	O
ළමා	ORG
හා	ORG
කාන්තා	ORG
කාර්යාංශය	ORG
විසින්	O
එවැනි	O
දැන්වීම්	O
පුවරු	O
සවිකර	O
ඇති	O
ආයතන	O
08	O
ක	O
නිලධාරීන්	O
අද	O
දිනයේ	O
කැඳවා	O
ඇති	O
බව	O
වාර්තා	O
වේ   O
.	O
මෙහිදී	O
එම	O
දැන්වීම්	O
පුවරු	O
මසක්	O
ඇතුළත	O
ගලවා	O
ඉවත්	O
කිරීමට	O
ආයතන	O
වලට	O
උපදෙස්	O
ලබාදෙනු	O
ඇත   O
.	O
ඒ	O
අනුව	O
එම	O
දැන්වීම්	O
පුවරු	O
ඉවත්	O
නොකරන	O
ආයතන	O
වලට	O
එරෙහිව	O
නීතිමය	O
ක්‍රියා	O
මාර්ග	O
බව	O
පොලිස්	ORG
ළමා	ORG
කාන්තා	ORG
කාර්යාංශයේ	ORG
උසස්	O
කිලධාරියකු	O
සඳහන්	O
කළේය   O
.	O
මේ	O
අතර	O
එවැනි	O
අසභ්‍ය	O
බව	O
හැ‍‍ඟෙන	O
දැන්වීම්	O
පුවරු	O
ප්‍රදර්ශනය	O
කර	O
ඇත්නම්	O
ඒ	O
පිළබඳව	O
දැනුම්	O
දෙන	O
ලෙස	O
පොලිස්	ORG
ළමා	ORG
කාන්තා	ORG
කාර්යාංශය	ORG
ජනතාවගෙන්	O
ඉල්ලා	O
සිටියි   O
.	O
ශ්‍රී	LOC
දළදා	LOC
මාළිගාවේ	LOC
ඇසළ	O
පෙරහැර	O
මංගල්‍ය	O
කටයුතු	O
අගෝස්තු	O
මස	O
10	O
වන	O
දින	O
උදෑසන	O
සතර	O
මහා	O
දේවාල	O
වල	O
කප්	O
සිටුවීමෙන්	O
ආරම්භ	O
වීමට	O
නියමිත	O
බව	O
දියවඩන	O
නිලමේ	O
නිලංග	O
දෑළ	O
බණ්ඩාර	PER
මහතා	O
පවසයි   O
.	O
එදින	O
සිට	O
දින	O
05	O
ක්	O
දේවාලයේ	O
අභ්‍යන්තර	O
පෙරහැර	O
පවත්වා	O
අගෝස්තු	O
මස	O
15	O
වන	O
දින	O
ප්‍රථම	O
කුඹල්	O
පෙරහැර	O
පැවැත්වීමට	O
නියමිතය   O
.	O
අගෝස්තු	O
මස	O
15	O
වැනි	O
දින	O
සිට	O
දින	O
05ක්	O
කුඹල්	O
පෙරහැර	O
මහනුවර	LOC
නගරයේ	O
වීදි	O
සංචාරය	O
කිරීමට	O
නියමිත	O
අතර	O
අගෝස්තු	O
මස	O
20	O
වන	O
දින	O
පළමු	O
රන්දෝලි	O
පෙරහැර	O
ආරම්භ	O
වේ   O
.	O
අගෝස්තු	O
මස	O
24	O
වන	O
දින	O
අවසන්	O
රන්දෝලි	O
පෙරහැර	O
පවත්වා	O
මධ්‍යම	O
රාත්‍රියේ	O
ගෙඩිගේ	O
විහාරයට	O
දළඳා	O
පෙරහැර	O
කරඬුව	O
වැඩම	O
කර	O
25	O
වන	O
දින	O
අළුයම	O
දිය	O
කැපීමේ	O
මංගල්‍යය	O
පැවැත්වීමට	O
නියමිත	O
බව	O
දියවඩන	O
නිලමේ	O
ප්‍රදීප්	PER
නිලංග	PER
දෑල	PER
බණ්ඩාර	PER
මහතා	O
සඳහන්	O
කළේය   O
.	O
නීති	O
විරෝධී	O
සංක්‍රමණිකයන්	O
රැඳීසිටින	O
සවුදි	LOC
අරාබියේ	LOC
ජෙදා	LOC
කන්දහාර්	LOC
පාලම	LOC
අවට	O
ප්‍රදේශයේ	O
සාප්පු	O
සංකීර්ණයක්	O
පිහිටුවීමට	O
ජෙදා	ORG
නගර	ORG
සභාව	ORG
තීරණය	O
කර	O
තිබේ   O
.	O
පසුගිය	O
කාලය	O
තුළ	O
මෙම	O
ප්‍රදේශයේ	O
ශ්‍රී	LOC
ලාංකික	LOC
අනවසර	O
සංක්‍රමණිකයන්	O
ද	O
රැඳී	O
සිටියේය	O
.	O
සවුදි	LOC
අරාබියට	LOC
අනවසරයෙන්	O
ඇතුළුවන	O
සංක්‍රමණිකයන්	O
මෙම	O
කන්දහාර්	LOC
පාලම	LOC
යටට	O
පැමිණෙන	O
අතර	O
එහිදී	O
ඔවුන්ව	O
අදාළ	O
රටවලට	O
පිටත්කර	O
හැරීම	O
සවුදි	ORG
රජය	ORG
විසින්	O
සිදුකරනු	O
ලබයි	O
.	O
තම	O
රටට	O
යාමට	O
අවශ්‍ය	O
වූ	O
විට	O
බොහෝ	O
සංක්‍රමණිකයන්	O
මෙය	O
පසුගිය	O
කාලයේ	O
ජාවාරමක්	O
බවට	O
පත්කරගෙන	O
සිටියේය	O
.	O
එමනිසා	O
මෙම	O
තත්ත්වය	O
පාලනය	O
කිරීම	O
සඳහා	O
සාප්පු	O
දහසකින්	O
යුත්	O
සාප්පු	O
සංකීර්ණයක්	O
ඉදිකිරීම	O
ආරම්භ	O
කර	O
ඇති	O
බව	O
වාර්තා	O
වේ	O
.	O
නෙදර්ලන්තයේදී	LOC
එල්.    ORG
ටී. ORG
ටී. ORG
ඊ	ORG
